City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,muynoq,43.7683,59.0214,10.95,32,87,3.77,UZ,1742079325
309,chibougamau,49.9168,-74.3659,8.79,53,100,4.63,CA,1742079326
310,sao vicente,-23.9631,-46.3919,24.43,26,100,2.94,BR,1742079327
311,borogontsy,62.6683,131.1683,-18.73,96,99,2.39,RU,1742079328
312,keflavik,64.0049,-22.5624,6.24,93,100,5.66,IS,1742079329
313,broken hill,-31.95,141.4333,30.97,22,100,9.26,AU,1742079330
314,kingston,17.997,-76.7936,28.53,65,20,5.14,JM,1742079332
315,palmer,42.1584,-72.3287,10.71,72,100,6.17,US,1742079333
316,bhagalpur,25.25,87.0,22.05,34,1,1.35,IN,1742079334
317,saint-felix-de-valois,46.1668,-73.4324,1.0,100,100,2.68,CA,1742079335
318,lumut,4.2323,100.6298,26.01,94,20,0.0,MY,1742079336
319,podujeva,42.9106,21.1931,14.42,65,97,1.11,XK,1742079337
320,piacabucu,-10.4056,-36.4344,27.14,76,19,5.81,BR,1742079338
321,sur,22.5667,59.5289,23.43,41,0,2.38,OM,1742079339
322,cole harbour,44.6724,-63.4751,4.66,90,69,4.63,CA,1742079340
323,kangding,30.0513,101.9603,-3.67,94,98,1.11,CN,1742079341
324,kruisfontein,-34.0033,24.7314,19.59,82,79,0.78,ZA,1742079342
325,bodo,67.28,14.405,-3.64,95,100,5.14,NO,1742079343
326,mejit,10.2753,170.8646,26.78,82,87,8.98,MH,1742079344
327,santa vitoria do palmar,-33.5189,-53.3681,17.76,79,19,2.81,BR,1742079345
328,nadym,65.5333,72.5167,-5.57,80,42,11.93,RU,1742079347
329,eyl,7.9803,49.8164,24.9,82,5,5.27,SO,1742079348
330,tangalle,6.024,80.7911,25.39,86,80,2.68,LK,1742079350
331,margate,51.3813,1.3862,4.37,72,6,1.34,GB,1742079351
332,drayton valley,53.2168,-114.9854,-7.06,77,100,3.55,CA,1742079352
333,gwadar,25.1216,62.3254,23.4,44,0,1.09,PK,1742079353
334,alice town,25.7167,-79.3,24.28,74,0,7.48,BS,1742079354
335,port douglas,-16.4833,145.4667,25.08,92,100,4.87,AU,1742079355
336,ola,59.5833,151.2833,-21.5,73,27,2.64,RU,1742079357
337,moranbah,-22.0016,148.0466,22.77,81,100,7.05,AU,1742079358
338,mugia,43.1041,-9.2179,8.28,66,7,8.5,ES,1742079359
339,birni n konni,13.7956,5.2553,30.1,12,99,4.2,NE,1742079360
340,portland,45.5234,-122.6762,9.21,88,100,3.13,US,1742079162
341,vila franca do campo,37.7167,-25.4333,14.23,91,100,9.35,PT,1742079362
342,akureyri,65.6835,-18.0878,1.96,93,20,1.03,IS,1742079363
343,sinabang,2.4803,96.3801,24.82,92,100,2.25,ID,1742079364
344,christchurch,-43.5333,172.6333,21.64,73,0,3.6,NZ,1742079366
345,morehead,37.2711,-87.1764,14.86,99,75,1.54,US,1742079367
346,swakopmund,-22.6833,14.5333,17.99,86,29,2.92,,1742079368
347,vadso,70.0744,29.7487,-9.91,79,89,3.09,NO,1742079369
348,weno,7.4515,151.8468,27.92,80,100,9.89,FM,1742079370
349,mobara,35.4167,140.3,10.06,92,100,5.26,JP,1742079371
350,solwezi,-12.1688,26.3894,15.94,99,100,1.19,ZM,1742079372
351,fortuna,40.5982,-124.1573,12.42,92,100,5.14,US,1742079373
352,sodra sandby,56.5667,16.6167,2.72,80,8,7.07,SE,1742079374
353,yeniseysk,58.4497,92.1703,-16.92,100,94,1.46,RU,1742079375
354,amos,48.5669,-78.1162,4.46,99,100,5.92,CA,1742079376
355,palanga,55.9175,21.0686,2.01,80,24,3.09,LT,1742079377
356,laguna,38.421,-121.4238,16.13,55,100,3.6,US,1742079378
357,ngambe,4.2333,10.6167,21.97,97,44,0.99,CM,1742079379
358,ust'-kut,56.7938,105.7672,-12.67,99,100,0.63,RU,1742079380
359,dubbo,-32.25,148.6167,29.07,34,40,6.69,AU,1742079381
360,nguigmi,14.2495,13.1092,27.35,15,100,5.61,NE,1742079382
